year,wolfer
1701,8.3
1702,18.3
1703,26.7
1704,38.3
1705,60
1706,96.7
1707,48.3
1708,33.3
1709,16.7
1710,13.3
1711,5
1712,0
1713,0
1714,3.3
1715,18.3
1716,45
1717,78.3
1718,105
1719,100
1720,65
1721,46.7
1722,43.3
1723,36.7
1724,18.3
1725,35
1726,66.7
1727,130
1728,203.3
1729,171.7
1730,121.7
1731,78.3
1732,58.3
1733,18.3
1734,8.3
1735,26.7
1736,56.7
1737,116.7
1738,135
1739,185
1740,168.3
1741,121.7
1742,66.7
1743,33.3
1744,26.7
1745,8.3
1746,18.3
1747,36.7
1748,66.7
1749,100
1750,134.8
1751,139
1752,79.5
1753,79.7
1754,51.2
1755,20.3
1756,16
1757,17
1758,54
1759,79.3
1760,90
1761,104.8
1762,143.2
1763,102
1764,75.2
1765,60.7
1766,34.8
1767,19
1768,63
1769,116.3
1770,176.8
1771,168
1772,136
1773,110.8
1774,58
1775,51
1776,11.7
1777,33
1778,154.2
1779,257.3
1780,209.8
1781,141.3
1782,113.5
1783,64.2
1784,38
1785,17
1786,40.2
1787,138.2
1788,220
1789,218.2
1790,196.8
1791,149.8
1792,111
1793,100
1794,78.2
1795,68.3
1796,35.5
1797,26.7
1798,10.7
1799,6.8
1800,11.3
1801,24.2
1802,56.7
1803,75
1804,71.8
1805,79.2
1806,70.3
1807,46.8
1808,16.8
1809,13.5
1810,4.2
1811,0
1812,2.3
1813,8.3
1814,20.3
1815,23.2
1816,59
1817,76.3
1818,68.3
1819,52.9
1820,38.5
1821,24.2
1822,9.2
1823,6.3
1824,2.2
1825,11.4
1826,28.2
1827,59.9
1828,83
1829,108.5
1830,115.2
1831,117.4
1832,80.8
1833,44.3
1834,13.4
1835,19.5
1836,85.8
1837,192.7
1838,227.3
1839,168.7
1840,143
1841,105.5
1842,63.3
1843,40.3
1844,18.1
1845,25.1
1846,65.8
1847,102.7
1848,166.3
1849,208.3
1850,182.5
1851,126.3
1852,122
1853,102.7
1854,74.1
1855,39
1856,12.7
1857,8.2
1858,43.4
1859,104.4
1860,178.3
1861,182.2
1862,146.6
1863,112.1
1864,83.5
1865,89.2
1866,57.8
1867,30.7
1868,13.9
1869,62.8
1870,123.6
1871,232
1872,185.3
1873,169.2
1874,110.1
1875,74.5
1876,28.3
1877,18.9
1878,20.7
1879,5.7
1880,10
1881,53.7
1882,90.5
1883,99
1884,106.1
1885,105.8
1886,86.3
1887,42.4
1888,21.8
1889,11.2
1890,10.4
1891,11.8
1892,59.5
1893,121.7
1894,142
1895,130
1896,106.6
1897,69.4
1898,43.8
1899,44.4
1900,20.2
1901,15.7
1902,4.6
1903,8.5
1904,40.8
1905,70.1
1906,105.5
1907,90.1
1908,102.8
1909,80.9
1910,73.2
1911,30.9
1912,9.5
1913,6
1914,2.4
1915,16.1
1916,79
1917,95
1918,173.6
1919,134.6
1920,105.7
1921,62.7
1922,43.5
1923,23.7
1924,9.7
1925,27.9
1926,74
1927,106.5
1928,114.7
1929,129.7
1930,108.2
1931,59.4
1932,35.1
1933,18.6
1934,9.2
1935,14.6
1936,60.2
1937,132.8
1938,190.6
1939,182.6
1940,148
1941,113
1942,79.2
1943,50.8
1944,27.1
1945,16.1
1946,55.3
1947,154.3
1948,214.7
1949,193
1950,190.7
1951,118.9
1952,98.3
1953,45
1954,20.1
1955,6.6
1956,54.2
1957,200.7
1958,269.3
1959,261.7
1960,225.1
1961,159
1962,76.4
1963,53.4
1964,39.9
1965,15
1966,22
1967,66.8
1968,132.9
1969,150
1970,149.4
1971,148
1972,94.4
1973,97.6
1974,54.1
1975,49.2
1976,22.5
1977,18.4
1978,39.3
1979,131
1980,220.1
1981,218.9
1982,198.9
1983,162.4
1984,91
1985,60.5
1986,20.6
1987,14.8
1988,33.9
1989,123
1990,211.1
1991,191.8
1992,203.3
1993,133
1994,76.1
1995,44.9
1996,25.1
1997,11.6
1998,28.9
1999,88.3
2000,136.3
2001,173.9
2002,170.4
2003,163.6
2004,99.3
2005,65.3
2006,45.8
2007,24.7
2008,12.6
2009,4.2
2010,4.8
2011,24.9
2012,80.8
2013,84.5
2014,94
2015,113.3
2016,69.8
2017,39.8
2018,21.7
2019,7
